record_id,date_utc,source,source_type,country,geo_risk_zone,escalation_keyword_score,cross_source_density,regional_escalation_level,predicted_level,prob_high_escalation
d9d9a443-cd16-452a-83fc-770e462d0ac5,26/02/2026,youtube,video_platform,Iran,medium,1,1,0,1,0.9999999999993818
b0b78479-c4e9-46ab-89ee-d502e9da5b1f,26/12/2018,acled,event,Palestine,high,0,1,0,1,0.9999999999997389
63a1c712-6c79-41de-9a20-adda08a95d41,14/07/2017,acled,event,Palestine,high,0,1,0,1,0.9999980106420024
73738e42-7531-430e-a332-28b3042840d6,28/11/2018,acled,event,Palestine,high,0,1,0,1,0.9999999999793765
44e55979-e041-483b-bbfd-46a77a6a39ce,20/12/2016,acled,event,Palestine,high,0,1,0,1,0.9999999999395479
31d3c63e-a9c3-411e-9895-4014f5f7f6a6,28/03/2019,acled,event,Palestine,high,0,1,0,1,0.9999999999411768
446f6b95-4abc-4618-998d-adb00b32fdad,27/11/2019,acled,event,Palestine,high,0,1,0,1,0.9999999999998801
495cae1a-24cd-489d-93a5-adba7f4c3eff,22/02/2019,acled,event,Palestine,high,0,1,0,1,0.9999999997610534
9b6c72bb-1843-4a83-8f8f-8e5ed3f7bfde,30/03/2019,acled,event,Palestine,high,0,1,0,1,1.0
ae0a945e-4c69-4ce3-b489-2cd7c03ddbd2,31/07/2017,acled,event,Palestine,high,0,1,0,1,0.9999999998549525
2e0eb79d-a0e3-4a82-98ca-bd553e94ef65,16/09/2019,acled,event,Palestine,high,0,1,0,1,0.9999999999341327
09861c6e-d37e-4be1-902a-64e3a2fa7961,3/07/2016,acled,event,Palestine,high,0,1,0,1,1.0
fcbab723-7b46-4c65-9b68-7c7cecf2dd20,7/04/2018,acled,event,Palestine,high,0,1,0,1,1.0
2449acc3-01f6-47a8-860c-11a863a4f249,20/12/2019,acled,event,Palestine,high,0,1,0,1,0.9999999999997247
9bc666ea-2494-4804-83e7-49a1124d7d2e,30/11/2025,youtube,video_platform,Israel,high,0,1,0,1,1.0
a1d7a795-2fa3-419a-ada9-8897038599cd,5/02/2017,acled,event,Palestine,high,0,1,0,1,1.0
a6798668-6c55-492c-9578-772c198f8c34,7/05/2017,acled,event,Palestine,high,0,1,0,1,1.0
4ce4e0cb-8f3a-4150-b343-98bc76ed02be,8/02/2026,youtube,video_platform,Israel,high,0,1,0,1,1.0
15154dd7-3173-4f38-9b39-484ed3932d96,21/12/2016,acled,event,Palestine,high,0,1,0,1,0.999999999956044
b6adb558-8241-4686-b489-d76f3a6d0e2f,11/05/2018,acled,event,Palestine,high,0,1,0,1,0.9999999999911005
68514449-a393-478b-9fc6-0eb06835e324,29/01/2019,acled,event,Palestine,high,0,1,0,1,0.9999999999999982
77a8f08b-1a0d-4d04-8787-6f42c06f9a34,16/08/2018,acled,event,Palestine,high,0,1,0,1,0.9999974498033107
59ecfa8e-c844-47c6-8d06-3ccb3a35c49f,14/05/2026,aljazeera_rss,news,UNKNOWN,low,0,6,0,1,1.0
711311e6-5f51-41df-bcfe-b77f621610a3,14/12/2018,acled,event,Palestine,high,0,1,0,1,0.9999999980503453
cdc68062-07e9-46e5-80fb-469c18dfa120,29/10/2019,acled,event,Palestine,high,0,1,0,1,0.9999999999857145
