record_id,date_utc,source,source_type,country,geo_risk_zone,escalation_keyword_score,cross_source_density,regional_escalation_level,predicted_level,prob_high_escalation
b5271b95-1935-400c-93ef-d34f64b36be8,12/05/2026,nasa_firms,satellite_detection,Israel/Palestine,high,0,6,1,0,0.0
53ce5dd6-b6b5-4dbc-aa30-0dcb976b1d6f,15/05/2026,gdelt,news_intelligence,Israel,high,0,6,1,0,0.0
4b4c8a5b-6ecb-4ed2-a4d1-a0c5d8c0cfca,3/05/2018,acled,event,Palestine,high,1,1,1,0,0.0
95ebeaf7-850a-43a5-b49a-8bed389798a1,14/05/2026,google_news_rss,news_aggregator,Iran,medium,1,7,1,0,0.0
e4fce389-a92b-4d51-a862-4b76f9829ff2,27/04/2026,youtube,video_platform,Israel,high,1,1,1,0,0.0
ef82f8d7-eae1-4975-943e-94e53ef721c0,10/11/2017,acled,event,Palestine,high,1,1,1,0,0.0
d8531ae2-d52b-4332-9938-af4fef018c23,15/05/2026,youtube,video_platform,Israel,high,1,6,1,0,0.0
824b343f-7ad6-4e35-83ca-31e1f7634294,29/03/2026,youtube,video_platform,Israel,high,3,1,1,0,0.0
262bd803-a082-4d18-9480-aa6ba068945d,13/05/2026,nasa_firms,satellite_detection,Israel/Palestine,high,0,6,1,0,0.0
0d5b896c-4cf8-48d0-ba12-36f42d0b81fb,6/10/2025,youtube,video_platform,Israel,high,1,1,1,0,0.0
49aa8822-dba0-47ad-8734-94f4572cf0b9,21/12/2017,acled,event,Palestine,high,1,1,1,0,0.0
afd9b54c-42bd-4a0b-992f-62895d41d332,11/12/2017,acled,event,Palestine,high,1,1,1,0,0.0
fcd6d424-e9b4-4706-a824-d2125b438655,2/02/2018,acled,event,Palestine,high,1,1,1,0,0.0
064ced97-c4c7-4119-ae86-772144ed93f3,30/01/2026,youtube,video_platform,Palestine,high,1,1,1,0,0.0
f5f9c330-dc90-45ca-9919-ca108a61b2c0,15/05/2026,opensky,aviation_tracking,Israel/Palestine,high,0,6,1,0,0.0
498857d7-fa6a-41c8-b4ae-e26f216c55af,14/05/2026,google_news_rss,news_aggregator,Israel,high,0,6,1,0,0.0
21a91dbb-c7b3-4524-8c98-462b2df00ad1,13/05/2026,nasa_firms,satellite_detection,Israel/Palestine,high,0,6,1,0,0.0
30636763-8278-4a13-8791-a38f3a505089,9/01/2026,youtube,video_platform,Israel,high,1,1,1,0,0.0
0e008d76-451c-4e13-84c3-0f5d3ef7f5c1,18/11/2025,youtube,video_platform,Israel,high,1,1,1,0,0.0
3a3bc535-49c9-47d1-b7c3-2af3b9fb7d0b,19/08/2019,acled,event,Palestine,high,1,1,1,0,0.0
3c8015d3-3ec1-4aee-8c12-71e1b1511957,23/02/2018,acled,event,Palestine,high,1,1,1,0,0.0
4de00604-b601-4419-8b00-b258bb04f7fe,1/01/2026,youtube,video_platform,Israel,high,1,1,1,0,0.0
f63aaf66-dc7c-48a8-b761-f79396125019,13/07/2025,youtube,video_platform,Palestine,high,1,1,1,0,0.0
95f66460-9a73-4661-8410-9e4d780284ad,23/02/2016,acled,event,Palestine,high,1,1,1,0,0.0
4338f9a9-2288-4ac3-b4a4-7773d2f2fc17,28/02/2026,youtube,video_platform,Israel,high,1,1,1,0,0.0
